"","Date","Corn_Cal_Spread","Corn_Cal_Spread_Perc","Soy_Cal_Spread","Soy_Cal_Spread_Perc"
"1",2000-01-03,-7.25,-0.0361145703611457,-8,-0.0175246440306681
"2",2000-01-04,-6.75,-0.0332512315270936,-7.25,-0.0156165858912224
"3",2000-01-05,-7,-0.0344827586206897,-7.75,-0.0165157165689931
"4",2000-01-06,-7,-0.0343558282208589,-7.5,-0.016025641025641
"5",2000-01-07,-7,-0.0338164251207729,-7.25,-0.0153764581124072
"6",2000-01-10,-7,-0.0335731414868106,-7.25,-0.0155495978552279
"7",2000-01-11,-7.25,-0.0349819059107358,-7.5,-0.0160599571734475
"8",2000-01-12,-7.5,-0.0348027842227378,-7.75,-0.0164021164021164
"9",2000-01-13,-7.75,-0.0351075877689694,-7.25,-0.0150492994291645
"10",2000-01-14,-7.75,-0.0353881278538813,-8,-0.0161209068010076
"11",2000-01-18,-7.75,-0.0352272727272727,-8.25,-0.0164260826281732
"12",2000-01-19,-8,-0.0362400906002265,-8.25,-0.0164670658682635
"13",2000-01-20,-8,-0.0362400906002265,-8.75,-0.0173095944609298
"14",2000-01-21,-8,-0.0359147025813693,-8.5,-0.0168233547748639
"15",2000-01-24,-7.5,-0.033003300330033,-8.75,-0.01708984375
"16",2000-01-25,-8,-0.0351648351648352,-8.25,-0.0159574468085106
"17",2000-01-26,-7.75,-0.0347533632286996,-9,-0.017535314174379
"18",2000-01-27,-7.75,-0.0343300110741971,-9,-0.0170777988614801
"19",2000-01-28,-8,-0.0357941834451902,-8.5,-0.0162368672397326
"20",2000-01-31,-7.75,-0.0352272727272727,-10,-0.0196850393700787
"21",2000-02-01,-8,-0.036036036036036,-9.5,-0.0186274509803922
"22",2000-02-02,-8,-0.0362400906002265,-9,-0.0177339901477833
"23",2000-02-03,-8,-0.036697247706422,-9,-0.0179640718562874
"24",2000-02-04,-8,-0.0364050056882821,-8.75,-0.0173095944609298
"25",2000-02-07,-8.25,-0.0372460496613995,-9.5,-0.018756169792695
"26",2000-02-08,-8.25,-0.0372881355932203,-9.75,-0.0194902548725637
"27",2000-02-09,-8.25,-0.0370786516853933,-9.5,-0.0188585607940447
"28",2000-02-10,-8.5,-0.0376940133037694,-9,-0.0175438596491228
"29",2000-02-11,-8.5,-0.0383314543404735,-9.75,-0.0192973775358733
"30",2000-02-14,-8.5,-0.0382452193475816,-9.75,-0.0193069306930693
"31",2000-02-15,-8.75,-0.0393700787401575,-9,-0.0176904176904177
"32",2000-02-16,-8.25,-0.0369955156950673,-9.5,-0.0187192118226601
"33",2000-02-17,-8.5,-0.0384180790960452,-9.75,-0.0191929133858268
"34",2000-02-18,-8.25,-0.0374149659863946,-10,-0.0194363459669582
"35",2000-02-22,-8.75,-0.0399087799315849,-9.5,-0.0185185185185185
"36",2000-02-23,-8,-0.0371660859465738,-8.5,-0.0170085042521261
"37",2000-02-24,-8.5,-0.0393063583815029,-9.25,-0.0183349851337958
"38",2000-02-25,-8.25,-0.0386869871043376,-8.5,-0.017102615694165
"39",2000-02-28,-8.75,-0.0412735849056604,-8.5,-0.0170768458061276
"40",2000-02-29,-9,-0.0418604651162791,-9.75,-0.0194513715710723
"41",2000-03-01,-8.25,-0.0384167636786962,-9.75,-0.0196374622356495
"42",2000-03-02,-7.75,-0.0358381502890173,-9,-0.0179461615154536
"43",2000-03-03,-7,-0.0320366132723112,-9,-0.0178571428571429
"44",2000-03-06,-7,-0.0315670800450958,-9,-0.0177078209542548
"45",2000-03-07,-7.25,-0.033256880733945,-9.25,-0.0184171229467397
"46",2000-03-08,-7,-0.031927023945268,-10,-0.019782393669634
"47",2000-03-09,-6.75,-0.0306122448979592,-9.5,-0.0187376725838264
"48",2000-03-10,-7,-0.0318543799772469,-9.75,-0.0195
"49",2000-03-13,-7.25,-0.0324384787472036,-9.75,-0.0189965903555772
"50",2000-03-14,-8.25,-0.0346638655462185,-9.75,-0.0183962264150943
"51",2000-03-15,-8.5,-0.0360169491525424,-10.75,-0.0204761904761905
"52",2000-03-16,-8.5,-0.0361317747077577,-11,-0.0209324452901998
"53",2000-03-17,-8.25,-0.0342679127725857,-10.25,-0.0190697674418605
"54",2000-03-20,-8.25,-0.0349946977730647,-11,-0.0209224916785544
"55",2000-03-21,-8.5,-0.0366379310344828,-11,-0.0208827717133365
"56",2000-03-22,-8.25,-0.035181236673774,-10.75,-0.0202448210922787
"57",2000-03-23,-8,-0.0347448425624321,-10.75,-0.0205938697318008
"58",2000-03-24,-8.25,-0.0355603448275862,-10.5,-0.0197833254828073
"59",2000-03-27,-8.25,-0.0354838709677419,-10.5,-0.019755409219191
"60",2000-03-28,-8.75,-0.0388888888888889,-10.75,-0.0204178537511871
"61",2000-03-29,-8.5,-0.0374449339207048,-10.5,-0.0198487712665406
"62",2000-03-30,-8.5,-0.0364415862808146,-10.5,-0.0195348837209302
