"","Timestamp","Partial Email","Continuous Corn","Rotational Corn","Soybean","Wheat","Double Crop Soybean"
"1",2024-03-06,"asto",75,NA,NA,NA,NA
"2",2024-04-05,"berg",100,100,100,0,0
"3",2024-03-20,"clar",85,NA,85,NA,NA
"4",2024-03-25,"clde",NA,75,75,NA,NA
"5",2024-02-28,"cmeh",100,100,100,NA,NA
"6",2024-03-25,"cree",NA,NA,NA,NA,NA
"7",2024-03-15,"csal",80,80,80,NA,NA
"8",2024-03-08,"culp",15,15,15,15,50
"9",2024-04-05,"dahi",0,80,80,0,0
"10",2024-03-20,"dnov",100,NA,100,NA,NA
"11",2024-03-21,"ebar",NA,NA,100,NA,NA
"12",2024-02-28,"elki",NA,80,80,NA,NA
"13",2024-04-04,"ewer",80,NA,80,NA,NA
"14",2024-04-01,"funk",85,85,85,0,0
"15",2024-03-08,"gmbe",NA,100,100,NA,NA
"16",2024-04-01,"hart",NA,100,100,NA,NA
"17",2024-04-04,"havr",100,100,100,NA,NA
"18",2024-03-14,"lble",85,85,85,NA,NA
"19",2024-03-15,"ljly",NA,80,80,80,80
"20",2024-03-20,"madi",100,100,100,100,100
"21",2024-03-25,"mbag",100,NA,100,NA,NA
"22",2024-03-14,"meye",NA,80,80,NA,90
"23",2024-03-20,"ocon",100,100,100,0,0
"24",2024-02-28,"rusc",100,100,100,NA,NA
"25",2024-01-31,"shum",0,80,80,0,0
"26",2024-03-11,"tgba",NA,85,100,100,NA
"27",2024-04-05,"west",85,85,85,0,0
"28",2024-03-11,"wlas",50,NA,60,NA,NA
